epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2753,1.98957,2.30224,2.16803,0.11997,0.44781,0.0944,0.02458,2.65189,16.8723,3.43313,0.000648649,0.000648649,0.000648649
2,55.238,1.94491,1.94658,2.13308,0.00465,0.45791,0.00335,0.00111,3.18003,inf,9.80709,0.00129671,0.00129671,0.00129671
3,78.6531,1.91819,1.94645,2.10642,0.04272,0.31313,0.02691,0.00774,2.51333,42.001,3.31978,0.00192592,0.00192592,0.00192592
4,102.808,1.84391,1.91276,2.10604,0.11124,0.35017,0.06306,0.02065,2.8624,6.93849,5.07214,0.00191514,0.00191514,0.00191514
5,126.443,1.83737,1.90902,2.06673,0.27878,0.32997,0.18626,0.05188,2.5031,6.0916,3.13988,0.00188686,0.00188686,0.00188686
6,151.391,1.81607,1.87484,2.05541,0.42563,0.53199,0.4081,0.10913,2.27417,4.37512,2.8028,0.00185857,0.00185857,0.00185857
7,175.882,1.78353,1.79791,2.00222,0.4997,0.57912,0.52247,0.1661,2.13029,1.88944,2.45801,0.00183029,0.00183029,0.00183029
8,201.893,1.74643,1.74236,1.94934,0.56627,0.58465,0.5657,0.20104,2.13599,1.92475,2.40536,0.001802,0.001802,0.001802
9,225.918,1.72116,1.75085,1.97615,0.5807,0.62963,0.56277,0.1863,2.09573,1.76191,2.41207,0.00177371,0.00177371,0.00177371
10,249.967,1.6809,1.68464,1.92867,0.51487,0.64646,0.53061,0.17362,2.07918,1.66028,2.31779,0.00174543,0.00174543,0.00174543
11,273.806,1.67836,1.67153,1.92271,0.64652,0.68013,0.67633,0.2227,1.99502,1.57341,2.18974,0.00171714,0.00171714,0.00171714
12,298.859,1.65086,1.60613,1.89764,0.65835,0.74074,0.70434,0.24335,1.98488,1.67917,2.18105,0.00168886,0.00168886,0.00168886
13,323.047,1.63592,1.62729,1.87995,0.66087,0.69697,0.68423,0.22087,2.0638,1.55443,2.32995,0.00166057,0.00166057,0.00166057
14,346.454,1.68293,1.59841,1.9133,0.6871,0.71044,0.69416,0.23283,1.95349,1.60623,2.17085,0.00163229,0.00163229,0.00163229
15,370.46,1.65709,1.59675,1.88266,0.60755,0.64983,0.61743,0.21267,1.98154,1.96264,2.2291,0.001604,0.001604,0.001604
16,393.606,1.619,1.58883,1.86004,0.63878,0.70034,0.6608,0.21227,2.01702,1.63804,2.26805,0.00157571,0.00157571,0.00157571
17,417.311,1.59512,1.57346,1.83379,0.71155,0.73737,0.75032,0.26431,1.98229,1.3277,2.17919,0.00154743,0.00154743,0.00154743
18,444.526,1.6014,1.51415,1.83842,0.69499,0.75084,0.71172,0.25058,1.91973,1.48961,2.12863,0.00151914,0.00151914,0.00151914
19,468.348,1.53632,1.47899,1.77072,0.54061,0.70707,0.58541,0.1895,2.07694,1.44322,2.27534,0.00149086,0.00149086,0.00149086
20,492.424,1.55541,1.47212,1.77272,0.70358,0.84848,0.79094,0.29285,1.80043,1.31244,2.01974,0.00146257,0.00146257,0.00146257
21,516.531,1.56742,1.49199,1.83463,0.7085,0.72017,0.73121,0.25612,1.92375,1.33303,2.09586,0.00143429,0.00143429,0.00143429
22,540.617,1.55225,1.51669,1.79307,0.5634,0.78208,0.60956,0.21233,1.96437,1.35434,2.18656,0.001406,0.001406,0.001406
23,564.507,1.52094,1.45877,1.80108,0.5752,0.70707,0.6171,0.20021,1.99854,1.47674,2.20537,0.00137771,0.00137771,0.00137771
24,587.616,1.50021,1.48352,1.76709,0.77333,0.80412,0.80206,0.27616,1.91294,1.24113,2.16216,0.00134943,0.00134943,0.00134943
25,611.591,1.5201,1.49001,1.76635,0.74335,0.83868,0.81952,0.29771,1.93887,1.2083,2.14592,0.00132114,0.00132114,0.00132114
26,636.302,1.48642,1.43346,1.75904,0.8295,0.79798,0.86042,0.34042,1.81473,1.20729,2.02515,0.00129286,0.00129286,0.00129286
27,661.022,1.49435,1.42975,1.74499,0.69779,0.52189,0.60605,0.25866,1.91088,1.86083,2.08618,0.00126457,0.00126457,0.00126457
28,684.759,1.47473,1.40158,1.7398,0.77738,0.84652,0.85963,0.34374,1.78,1.17678,1.98735,0.00123629,0.00123629,0.00123629
29,708.955,1.49404,1.40568,1.75075,0.71567,0.72885,0.7565,0.32146,1.74781,1.41252,1.96819,0.001208,0.001208,0.001208
30,732.901,1.46409,1.4754,1.72658,0.81364,0.72727,0.8076,0.33153,1.80805,1.29103,2.06378,0.00117971,0.00117971,0.00117971
31,756.463,1.45485,1.42818,1.70253,0.81308,0.84947,0.89951,0.38153,1.66392,1.21938,1.86251,0.00115143,0.00115143,0.00115143
32,781.045,1.46151,1.40921,1.71935,0.80871,0.79715,0.84896,0.31566,1.85435,1.23051,2.08174,0.00112314,0.00112314,0.00112314
33,804.816,1.5006,1.40331,1.72473,0.77225,0.86869,0.89212,0.36204,1.72543,1.14802,1.94201,0.00109486,0.00109486,0.00109486
34,828.904,1.43733,1.37417,1.69655,0.7633,0.78451,0.81194,0.32511,1.79478,1.14823,1.9948,0.00106657,0.00106657,0.00106657
35,852.747,1.45792,1.32026,1.69747,0.81241,0.82155,0.87122,0.33768,1.74038,1.15463,1.96365,0.00103829,0.00103829,0.00103829
36,876.308,1.43136,1.35413,1.72739,0.75976,0.79461,0.8252,0.33937,1.70655,1.19943,1.9229,0.00101,0.00101,0.00101
37,900.625,1.43844,1.31975,1.71937,0.83161,0.83165,0.82989,0.3059,1.82475,1.16808,2.04139,0.000981714,0.000981714,0.000981714
38,923.997,1.42935,1.375,1.7193,0.7687,0.80471,0.83045,0.30779,1.79959,1.16904,2.01885,0.000953429,0.000953429,0.000953429
39,947.317,1.43587,1.42364,1.68625,0.82956,0.86857,0.91487,0.39247,1.65794,1.16873,1.88769,0.000925143,0.000925143,0.000925143
40,972.9,1.40009,1.36197,1.68616,0.86454,0.81658,0.89253,0.3842,1.69679,1.16269,1.8938,0.000896857,0.000896857,0.000896857
41,995.924,1.41753,1.38407,1.66485,0.74497,0.83165,0.8536,0.34993,1.70667,1.1529,1.91151,0.000868571,0.000868571,0.000868571
42,1019.36,1.37588,1.3552,1.65207,0.82323,0.78404,0.85187,0.35517,1.73954,1.16947,1.98342,0.000840286,0.000840286,0.000840286
43,1043.43,1.40592,1.3172,1.66806,0.86523,0.84307,0.90099,0.36233,1.74466,1.08169,1.95559,0.000812,0.000812,0.000812
44,1066.67,1.38648,1.36697,1.64332,0.8515,0.83017,0.90529,0.39313,1.61134,1.10574,1.82554,0.000783714,0.000783714,0.000783714
45,1090.83,1.38263,1.32468,1.63333,0.85123,0.82844,0.90351,0.39285,1.65798,1.10355,1.85122,0.000755429,0.000755429,0.000755429
46,1115,1.39926,1.32375,1.65709,0.86054,0.83104,0.90529,0.38903,1.67747,1.11739,1.88297,0.000727143,0.000727143,0.000727143
47,1138.73,1.35717,1.30222,1.63117,0.82598,0.83165,0.90222,0.42397,1.62826,1.05346,1.83747,0.000698857,0.000698857,0.000698857
48,1163.32,1.36744,1.2879,1.62391,0.84764,0.81818,0.88614,0.35409,1.7433,1.09612,1.97476,0.000670571,0.000670571,0.000670571
49,1187.05,1.36738,1.29855,1.63059,0.74906,0.82413,0.85251,0.36528,1.67687,1.09118,1.88005,0.000642286,0.000642286,0.000642286
50,1211.08,1.32689,1.25597,1.60983,0.86974,0.85522,0.92769,0.4013,1.68439,1.06208,1.89127,0.000614,0.000614,0.000614
51,1234.76,1.36929,1.29263,1.61799,0.78714,0.84669,0.89324,0.38867,1.64349,1.10654,1.86406,0.000585714,0.000585714,0.000585714
52,1258.19,1.34536,1.29083,1.59637,0.77853,0.79798,0.8574,0.36012,1.70351,1.11994,1.92564,0.000557429,0.000557429,0.000557429
53,1282.76,1.34257,1.256,1.60022,0.82098,0.82828,0.88526,0.41181,1.61866,1.09515,1.82377,0.000529143,0.000529143,0.000529143
54,1306.34,1.36479,1.26868,1.64046,0.84937,0.8164,0.9122,0.4186,1.62036,1.06728,1.81952,0.000500857,0.000500857,0.000500857
55,1329.78,1.31908,1.26012,1.60657,0.81173,0.80471,0.89797,0.4322,1.58987,1.05954,1.79647,0.000472571,0.000472571,0.000472571
56,1354.35,1.32745,1.22299,1.57925,0.82954,0.79125,0.89949,0.40776,1.6699,1.0341,1.85716,0.000444286,0.000444286,0.000444286
57,1377.35,1.30095,1.2213,1.58426,0.8559,0.79998,0.89439,0.44108,1.56044,1.03734,1.75377,0.000416,0.000416,0.000416
58,1402.09,1.33104,1.26674,1.61813,0.84563,0.81145,0.90287,0.4089,1.65507,1.03027,1.83525,0.000387714,0.000387714,0.000387714
59,1425.75,1.31628,1.2132,1.61191,0.88223,0.85859,0.91197,0.40547,1.67747,1.02914,1.87753,0.000359429,0.000359429,0.000359429
60,1449.16,1.30443,1.22765,1.5892,0.83307,0.85185,0.91179,0.43099,1.61173,1.0223,1.81343,0.000331143,0.000331143,0.000331143
61,1474.24,1.23429,1.09417,1.60639,0.83309,0.84512,0.9052,0.41347,1.63045,1.05697,1.81962,0.000302857,0.000302857,0.000302857
62,1497.43,1.22563,1.05139,1.61696,0.88104,0.81145,0.89421,0.43013,1.56662,1.09646,1.78973,0.000274571,0.000274571,0.000274571
63,1521.57,1.1922,1.04198,1.57001,0.86649,0.80856,0.88893,0.41913,1.59053,1.09377,1.80522,0.000246286,0.000246286,0.000246286
64,1544.77,1.20795,1.02848,1.59027,0.88914,0.83165,0.91389,0.42418,1.5932,1.06117,1.80243,0.000218,0.000218,0.000218
65,1567.94,1.21491,1.02055,1.58459,0.88286,0.82828,0.89874,0.43146,1.57379,1.06534,1.77278,0.000189714,0.000189714,0.000189714
66,1591.8,1.19746,1.05295,1.57271,0.88331,0.81561,0.91258,0.44678,1.55996,1.05894,1.75874,0.000161429,0.000161429,0.000161429
67,1615.8,1.19736,1.01257,1.57076,0.85644,0.82355,0.9006,0.43785,1.56532,1.05714,1.75345,0.000133143,0.000133143,0.000133143
68,1639.13,1.18658,1.02354,1.5596,0.87651,0.83647,0.89801,0.44814,1.55028,1.04455,1.73949,0.000104857,0.000104857,0.000104857
69,1662.68,1.16608,0.97941,1.56431,0.88578,0.82155,0.89733,0.44775,1.54157,1.04506,1.73192,7.65714e-05,7.65714e-05,7.65714e-05
