epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9974,1.76055,2.03693,1.80831,0.01614,0.69697,0.01499,0.00565,2.35737,inf,5.41672,0.000648649,0.000648649,0.000648649
2,76.2598,1.86878,1.73173,1.87358,0.00187,0.31313,0.00126,0.00036,nan,nan,nan,0.00129671,0.00129671,0.00129671
3,99.9575,1.93376,1.65457,1.89829,0.00255,0.41414,0.00211,0.00054,3.51999,inf,28.8578,0.00192592,0.00192592,0.00192592
4,124.039,1.84477,1.62959,1.8617,0.0248,0.2963,0.01336,0.00423,2.91232,35.0052,3.72154,0.00191514,0.00191514,0.00191514
5,146.98,1.80959,1.61947,1.829,0.02018,0.21886,0.00768,0.00293,3.03363,8.53327,3.97752,0.00188686,0.00188686,0.00188686
6,170.418,1.72887,1.53791,1.79042,0.39739,0.27609,0.2182,0.07703,2.95658,2.80942,3.02201,0.00185857,0.00185857,0.00185857
7,194.952,1.71282,1.46594,1.75551,0.4486,0.59933,0.44542,0.15938,2.10056,1.952,2.2641,0.00183029,0.00183029,0.00183029
8,224.856,1.72059,1.46295,1.73902,0.65202,0.6936,0.69753,0.30708,1.73722,1.49313,1.90747,0.001802,0.001802,0.001802
9,250.101,1.69263,1.4293,1.7511,0.72725,0.69024,0.75103,0.30495,1.91086,1.42283,2.00413,0.00177371,0.00177371,0.00177371
10,274.258,1.6528,1.36026,1.73114,0.74236,0.75421,0.78507,0.32954,1.74184,1.4362,1.80978,0.00174543,0.00174543,0.00174543
11,298.578,1.63426,1.35599,1.70163,0.65504,0.78002,0.74131,0.34902,1.65654,1.47046,1.7812,0.00171714,0.00171714,0.00171714
12,324.101,1.62742,1.34054,1.72035,0.63164,0.68013,0.66801,0.29904,1.71377,1.62622,1.82486,0.00168886,0.00168886,0.00168886
13,348.313,1.6059,1.35597,1.67799,0.65149,0.77441,0.72434,0.35462,1.65951,1.37241,1.78703,0.00166057,0.00166057,0.00166057
14,372.211,1.60212,1.30067,1.66026,0.69906,0.83165,0.81402,0.38409,1.64118,1.25397,1.76301,0.00163229,0.00163229,0.00163229
15,396.793,1.60192,1.24217,1.66329,0.77137,0.82828,0.84797,0.41339,1.6774,1.221,1.78187,0.001604,0.001604,0.001604
16,421.07,1.5663,1.24338,1.641,0.76707,0.81145,0.85588,0.40666,1.63265,1.22094,1.75177,0.00157571,0.00157571,0.00157571
17,444.647,1.55745,1.28557,1.60354,0.77971,0.82155,0.86138,0.42096,1.64459,1.08051,1.74537,0.00154743,0.00154743,0.00154743
18,469.229,1.55282,1.2287,1.62736,0.75924,0.82818,0.84533,0.40888,1.65619,1.21165,1.7746,0.00151914,0.00151914,0.00151914
19,492.527,1.51061,1.23226,1.57085,0.7318,0.79927,0.81818,0.39902,1.61707,1.2213,1.7098,0.00149086,0.00149086,0.00149086
20,516.602,1.54814,1.23038,1.58446,0.82344,0.81657,0.87577,0.42869,1.57387,1.14563,1.65959,0.00146257,0.00146257,0.00146257
21,540.698,1.52375,1.22094,1.62261,0.8273,0.81481,0.88554,0.39218,1.6036,1.18677,1.7178,0.00143429,0.00143429,0.00143429
22,564.345,1.55786,1.24943,1.62671,0.77176,0.79461,0.85477,0.39478,1.59537,1.20789,1.742,0.001406,0.001406,0.001406
23,587.97,1.48665,1.20261,1.59624,0.80527,0.79365,0.88856,0.43578,1.61805,1.06335,1.68731,0.00137771,0.00137771,0.00137771
24,612.345,1.49478,1.19548,1.57292,0.65831,0.85185,0.77496,0.38021,1.62558,1.26842,1.73909,0.00134943,0.00134943,0.00134943
25,636.734,1.46939,1.21637,1.56409,0.7904,0.78451,0.82048,0.40049,1.67505,1.21935,1.82494,0.00132114,0.00132114,0.00132114
26,660.125,1.4871,1.17481,1.59003,0.78141,0.87879,0.88643,0.44245,1.56318,1.06905,1.67029,0.00129286,0.00129286,0.00129286
27,685.991,1.5132,1.1655,1.58371,0.72237,0.76094,0.79366,0.40139,1.57822,1.1604,1.69507,0.00126457,0.00126457,0.00126457
28,708.897,1.4298,1.16258,1.52914,0.81427,0.83165,0.88428,0.43346,1.59036,1.08529,1.68648,0.00123629,0.00123629,0.00123629
29,732.506,1.43444,1.17901,1.52225,0.78313,0.81481,0.84419,0.44306,1.56011,1.09974,1.64817,0.001208,0.001208,0.001208
30,756.362,1.43044,1.15839,1.51532,0.78933,0.83263,0.85986,0.44729,1.53801,1.08649,1.66151,0.00117971,0.00117971,0.00117971
