epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4036,1.76476,2.03849,1.82044,0.02308,0.56229,0.0212,0.00848,2.03159,95.9627,2.40431,0.000648649,0.000648649,0.000648649
2,55.5042,1.8621,1.76653,1.81866,0.00334,0.40404,0.00247,0.00084,3.04357,inf,5.94022,0.00129671,0.00129671,0.00129671
3,79.3212,1.88676,1.62802,1.82928,0.00229,0.34007,0.00159,0.00045,3.86048,inf,29.192,0.00192592,0.00192592,0.00192592
4,103.32,1.84851,1.64823,1.81144,0.07233,0.11785,0.01899,0.00722,3.42694,7.44948,4.01546,0.00191514,0.00191514,0.00191514
5,127.133,1.80592,1.63357,1.7956,0.27852,0.48822,0.35045,0.14036,1.9925,12.5159,2.38368,0.00188686,0.00188686,0.00188686
6,152.562,1.75008,1.51486,1.76338,0.08526,0.2963,0.0524,0.01723,2.57768,5.46302,3.41385,0.00185857,0.00185857,0.00185857
7,176.449,1.75085,1.43379,1.72799,0.63773,0.65993,0.6822,0.2832,1.8126,1.74697,1.89299,0.00183029,0.00183029,0.00183029
8,201.565,1.71148,1.43349,1.70179,0.6318,0.58586,0.62703,0.25719,1.94111,1.61701,2.01514,0.001802,0.001802,0.001802
9,226.214,1.72064,1.45497,1.72876,0.67179,0.6835,0.69918,0.28798,1.79169,1.53094,1.9103,0.00177371,0.00177371,0.00177371
10,250.133,1.68438,1.38589,1.69364,0.69559,0.67706,0.73134,0.31739,1.75313,1.5908,1.78132,0.00174543,0.00174543,0.00174543
11,275.855,1.64737,1.34329,1.67431,0.76465,0.82828,0.82952,0.38278,1.71002,1.26163,1.75199,0.00171714,0.00171714,0.00171714
12,301.432,1.59714,1.33976,1.61467,0.69784,0.79461,0.76768,0.36995,1.53857,1.6633,1.63665,0.00168886,0.00168886,0.00168886
13,325.551,1.58683,1.35084,1.612,0.68354,0.72725,0.74204,0.35945,1.67405,1.20881,1.75633,0.00166057,0.00166057,0.00166057
14,348.825,1.57684,1.28042,1.60358,0.80004,0.82155,0.85356,0.40188,1.63647,1.24473,1.71777,0.00163229,0.00163229,0.00163229
15,372.965,1.59246,1.2629,1.6144,0.78033,0.80808,0.83032,0.39918,1.66927,1.2188,1.71088,0.001604,0.001604,0.001604
16,397.265,1.56477,1.25304,1.59715,0.7635,0.7935,0.80709,0.36481,1.65807,1.30718,1.77508,0.00157571,0.00157571,0.00157571
17,421.404,1.51908,1.30314,1.54665,0.76285,0.77983,0.80032,0.38409,1.62864,1.21023,1.72505,0.00154743,0.00154743,0.00154743
18,445.065,1.5209,1.23794,1.55137,0.77042,0.83613,0.8669,0.42061,1.58885,1.17915,1.67057,0.00151914,0.00151914,0.00151914
19,471.734,1.49643,1.2259,1.51148,0.77908,0.77182,0.824,0.39009,1.72336,1.19527,1.72595,0.00149086,0.00149086,0.00149086
20,495.856,1.53147,1.24702,1.53005,0.7895,0.84848,0.86648,0.41723,1.62474,1.18126,1.711,0.00146257,0.00146257,0.00146257
21,519.01,1.51742,1.23925,1.59844,0.80481,0.76356,0.82423,0.37025,1.85372,1.19782,1.90594,0.00143429,0.00143429,0.00143429
22,543.132,1.5438,1.25296,1.58561,0.81641,0.83846,0.88048,0.40123,1.59821,1.07711,1.69078,0.001406,0.001406,0.001406
23,567.21,1.46732,1.20405,1.5626,0.72366,0.81145,0.82358,0.39373,1.63925,1.11813,1.6947,0.00137771,0.00137771,0.00137771
24,591.086,1.47948,1.19399,1.54467,0.69226,0.81481,0.81274,0.40626,1.61948,1.14232,1.67022,0.00134943,0.00134943,0.00134943
25,614.979,1.44473,1.18574,1.50948,0.72782,0.7833,0.8182,0.40134,1.65087,1.08887,1.70255,0.00132114,0.00132114,0.00132114
26,638.946,1.49563,1.14666,1.54601,0.78949,0.84848,0.8893,0.42128,1.57377,1.15157,1.64499,0.00129286,0.00129286,0.00129286
27,663.977,1.48259,1.16822,1.52459,0.81127,0.82497,0.87283,0.43873,1.5752,1.09699,1.64128,0.00126457,0.00126457,0.00126457
28,688.537,1.44847,1.13375,1.50327,0.77993,0.82492,0.8692,0.45004,1.58044,1.04737,1.64931,0.00123629,0.00123629,0.00123629
29,713.663,1.42787,1.15288,1.48266,0.79898,0.86195,0.88313,0.45519,1.5653,1.02891,1.61596,0.001208,0.001208,0.001208
30,739.197,1.41265,1.15481,1.46808,0.79173,0.81915,0.86792,0.44247,1.51352,1.06665,1.58551,0.00117971,0.00117971,0.00117971
31,763.132,1.43326,1.13756,1.47623,0.78506,0.84856,0.87447,0.44357,1.54,1.03517,1.59317,0.00115143,0.00115143,0.00115143
32,786.563,1.40117,1.14024,1.46697,0.7801,0.78788,0.85851,0.4309,1.53034,1.07767,1.58147,0.00112314,0.00112314,0.00112314
33,810.312,1.42547,1.09485,1.46578,0.75316,0.81158,0.84742,0.42132,1.57289,1.16893,1.65161,0.00109486,0.00109486,0.00109486
34,833.731,1.43263,1.13819,1.50666,0.8039,0.84175,0.87251,0.45374,1.59315,1.04382,1.66861,0.00106657,0.00106657,0.00106657
35,857.403,1.40284,1.09303,1.45451,0.8219,0.87542,0.90416,0.45963,1.59285,1.05169,1.64266,0.00103829,0.00103829,0.00103829
